Nodes,Packet Loss (%),Latency (ms),Convergence (%)
10,0,3750.0,100.0
25,0,1562.5,100.0
50,0,75.8,100.0
75,0,75.8,100.0
100,0,70.8,100.0
10,25,3261.7,100.0
25,25,1810.0,100.0
50,25,80.0,100.0
75,25,76.7,100.0
100,25,71.7,100.0
10,50,3750.0,100.0
25,50,1827.5,100.0
50,50,99.2,100.0
75,50,85.8,100.0
100,50,78.3,100.0
10,75,3750.0,100.0
25,75,1664.2,100.0
50,75,616.7,100.0
75,75,114.2,100.0
100,75,95.8,100.0
10,85,3528.3,100.0
25,85,1776.7,100.0
50,85,206.7,100.0
75,85,152.5,100.0
100,85,134.2,100.0
