seed,variant,drop_rate,dpr_pct,sync_pct,delivery_pct,delivered_bytes,energy_kj,tokens_generated,ips_score,llm_fallbacks,injections_generated,injections_rejected,gate_pass_rate,drift_failures
42,Full Agentic SLM,0.0,99.49,84.94,95.53,35691189,1785.31,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.1,99.46,81.35,89.85,29767282,1489.115,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.2,99.47,76.68,84.24,24022748,1201.888,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.3,99.45,71.71,78.7,20248180,1013.16,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.4,99.46,66.11,73.92,17240394,862.771,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.5,99.42,59.57,67.65,14281512,714.827,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.6,99.46,51.1,61.19,11367508,569.126,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.7,99.47,47.17,57.84,9961293,498.816,75090,0.9936,2503,0,0,0.98,50
42,Full Agentic SLM,0.8,99.41,39.66,51.82,7747866,388.144,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.0,99.49,86.34,95.79,35905154,1796.009,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.1,99.47,81.17,89.49,29575408,1479.521,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.2,99.46,75.35,83.56,23446697,1173.086,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.3,99.46,70.21,78.41,19845175,993.01,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.4,99.51,68.45,74.72,17951132,898.308,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.5,99.44,60.44,67.88,14506309,726.066,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.6,99.45,50.38,60.86,11149611,558.231,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.7,99.4,48.56,58.29,10258485,513.675,75090,0.9936,2503,0,0,0.98,50
42,A1: No Link Memory,0.8,99.45,40.0,52.09,7940869,397.794,75090,0.9936,2503,0,0,0.98,50
42,A2: No Compression,0.0,100.0,85.26,95.73,66581684,3329.084,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.1,100.0,81.05,86.53,52214425,2610.721,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.2,100.0,69.24,76.04,36315439,1815.772,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.3,100.0,56.48,65.65,25085317,1254.266,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.4,100.0,45.87,56.74,18224579,911.229,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.5,100.0,33.07,46.82,11537253,576.863,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.6,100.0,23.05,37.35,7080885,354.044,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.7,100.0,13.93,27.54,3680566,184.028,0,1.0,0,0,0,1.0,0
42,A2: No Compression,0.8,100.0,7.36,18.21,1555295,77.765,0,1.0,0,0,0,1.0,0
42,A3: No Relay Routing,0.0,99.49,86.34,95.79,35905154,1796.009,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.1,99.47,81.17,89.49,29575408,1479.521,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.2,99.46,75.35,83.56,23446697,1173.086,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.3,99.46,70.21,78.41,19845175,993.01,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.4,99.51,68.45,74.72,17951132,898.308,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.5,99.44,60.44,67.88,14506309,726.066,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.6,99.45,50.38,60.86,11149611,558.231,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.7,99.4,48.56,58.29,10258485,513.675,75090,0.9936,2503,0,0,0.98,50
42,A3: No Relay Routing,0.8,99.45,40.0,52.09,7940869,397.794,75090,0.9936,2503,0,0,0.98,50
42,A4: No Verification Gate,0.0,99.44,85.26,95.73,36397719,1820.637,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.1,99.44,80.29,89.28,29914813,1496.492,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.2,99.43,76.96,84.35,24720454,1236.774,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.3,99.49,71.24,78.52,20417722,1021.637,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.4,99.45,64.22,72.66,16884551,844.978,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.5,99.5,60.07,67.89,14709865,736.244,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.6,99.46,52.12,61.83,11841258,592.814,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.7,99.44,46.06,56.56,9801876,490.845,75090,1.0,2503,0,0,1.0,0
42,A4: No Verification Gate,0.8,99.42,37.92,50.41,7498438,375.673,75090,1.0,2503,0,0,1.0,0
43,Full Agentic SLM,0.0,99.55,84.79,96.61,34359181,1718.708,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.1,99.53,79.69,90.42,28392504,1420.374,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.2,99.49,73.73,84.03,22580910,1129.794,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.3,99.6,67.32,78.71,18872649,944.381,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.4,99.53,62.66,73.66,16349562,818.227,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.5,99.58,57.29,68.24,13867694,694.133,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.6,99.54,48.65,60.84,10777821,539.64,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.7,99.5,43.25,56.16,9048810,453.189,74850,0.9937,2495,0,0,0.9796,51
43,Full Agentic SLM,0.8,99.51,37.29,51.32,7390906,370.294,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.0,99.54,84.1,95.8,33760884,1688.793,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.1,99.6,79.05,90.14,28135864,1407.542,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.2,99.54,74.02,84.79,23005699,1151.033,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.3,99.55,68.28,78.9,19191508,960.324,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.4,99.54,62.22,73.58,16130988,807.298,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.5,99.53,57.66,68.54,13967548,699.126,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.6,99.53,50.48,62.48,11363540,568.926,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.7,99.52,42.1,55.55,8771838,439.34,74850,0.9937,2495,0,0,0.9796,51
43,A1: No Link Memory,0.8,99.56,37.48,51.7,7480122,374.755,74850,0.9937,2495,0,0,0.9796,51
43,A2: No Compression,0.0,100.0,84.68,96.11,63502747,3175.137,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.1,100.0,79.4,87.17,50215547,2510.777,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.2,100.0,66.15,76.12,34281569,1714.078,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.3,100.0,53.75,65.84,24311771,1215.589,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.4,100.0,42.53,56.11,16902222,845.111,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.5,100.0,33.31,47.63,11846339,592.317,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.6,100.0,22.16,37.1,6815173,340.759,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.7,100.0,13.32,27.58,3534762,176.738,0,1.0,0,0,0,1.0,0
43,A2: No Compression,0.8,100.0,7.38,18.53,1564491,78.225,0,1.0,0,0,0,1.0,0
43,A3: No Relay Routing,0.0,99.54,84.1,95.8,33760884,1688.793,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.1,99.6,79.05,90.14,28135864,1407.542,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.2,99.54,74.02,84.79,23005699,1151.033,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.3,99.55,68.28,78.9,19191508,960.324,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.4,99.54,62.22,73.58,16130988,807.298,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.5,99.53,57.66,68.54,13967548,699.126,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.6,99.53,50.48,62.48,11363540,568.926,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.7,99.52,42.1,55.55,8771838,439.34,74850,0.9937,2495,0,0,0.9796,51
43,A3: No Relay Routing,0.8,99.56,37.48,51.7,7480122,374.755,74850,0.9937,2495,0,0,0.9796,51
43,A4: No Verification Gate,0.0,99.55,84.68,96.11,34716298,1736.563,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.1,99.56,78.57,89.77,28447238,1423.11,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.2,99.59,73.02,84.26,23073801,1154.439,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.3,99.58,67.6,78.73,19465357,974.016,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.4,99.51,61.03,72.55,16022180,801.857,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.5,99.56,57.69,68.74,14410286,721.263,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.6,99.55,49.27,61.85,11286069,565.052,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.7,99.51,42.38,56.2,9082883,454.893,74850,1.0,2495,0,0,1.0,0
43,A4: No Verification Gate,0.8,99.57,37.11,51.44,7511851,376.341,74850,1.0,2495,0,0,1.0,0
44,Full Agentic SLM,0.0,99.56,83.15,95.59,33460265,1673.764,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.1,99.57,78.91,89.56,28091984,1405.35,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.2,99.57,72.86,84.15,22787056,1140.104,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.3,99.55,66.47,77.99,18723919,936.947,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.4,99.52,61.53,72.82,16119417,806.722,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.5,99.58,56.16,67.92,13803078,690.905,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.6,99.55,48.75,61.48,11101832,555.842,75090,0.9936,2503,0,0,0.9792,52
44,Full Agentic SLM,0.7,99.55,45.5,57.46,9734974,487.5,75090,0.9936,2503,0,0,0.9792,52
