seed,injection_rate,drop_rate,dpr_pct,sync_pct,injections_generated,injections_rejected,gate_recall,gate_pass_rate,llm_fallbacks
42,0.0,0.4,99.46,66.11,0,0,1.0,0.98,2503
43,0.0,0.4,99.53,62.66,0,0,1.0,0.9796,2495
44,0.0,0.4,99.52,61.53,0,0,1.0,0.9792,2503
45,0.0,0.4,99.68,56.57,0,0,1.0,0.9748,2502
46,0.0,0.4,99.63,61.2,0,0,1.0,0.976,2500
47,0.0,0.4,99.61,61.56,0,0,1.0,0.9692,2502
48,0.0,0.4,99.72,65.29,0,0,1.0,0.9768,2501
49,0.0,0.4,99.48,62.75,0,0,1.0,0.9756,2503
50,0.0,0.4,99.62,58.0,0,0,1.0,0.9752,2495
51,0.0,0.4,99.51,54.48,0,0,1.0,0.9815,2490
42,0.05,0.4,99.62,61.61,2502,176,0.0703,0.9297,2502
43,0.05,0.4,99.52,60.17,2498,164,0.0657,0.9343,2498
44,0.05,0.4,99.56,59.88,2506,184,0.0734,0.9266,2506
45,0.05,0.4,99.48,58.65,2500,190,0.076,0.924,2500
46,0.05,0.4,99.68,60.4,2496,183,0.0733,0.9267,2496
47,0.05,0.4,99.55,60.06,2497,189,0.0757,0.9243,2497
48,0.05,0.4,99.54,62.86,2501,159,0.0636,0.9364,2501
49,0.05,0.4,99.56,63.25,2504,178,0.0711,0.9289,2504
50,0.05,0.4,99.45,60.43,2493,137,0.055,0.945,2493
51,0.05,0.4,99.47,53.64,2500,177,0.0708,0.9292,2500
42,0.1,0.4,99.61,66.65,2509,293,0.1168,0.8832,2509
43,0.1,0.4,99.67,60.93,2492,297,0.1192,0.8808,2492
44,0.1,0.4,99.61,57.84,2498,296,0.1185,0.8815,2498
45,0.1,0.4,99.66,56.92,2500,311,0.1244,0.8756,2500
46,0.1,0.4,99.56,60.35,2505,285,0.1138,0.8862,2505
47,0.1,0.4,99.69,57.32,2497,317,0.127,0.873,2497
48,0.1,0.4,99.65,63.54,2495,302,0.121,0.879,2495
49,0.1,0.4,99.66,62.97,2505,313,0.125,0.875,2505
50,0.1,0.4,99.59,59.26,2496,284,0.1138,0.8862,2496
51,0.1,0.4,99.65,55.17,2499,301,0.1204,0.8796,2499
42,0.2,0.4,99.59,66.91,2506,574,0.2291,0.7709,2506
43,0.2,0.4,99.64,61.65,2503,573,0.2289,0.7711,2503
44,0.2,0.4,99.54,62.97,2497,507,0.203,0.797,2497
45,0.2,0.4,99.61,56.9,2500,536,0.2144,0.7856,2500
46,0.2,0.4,99.5,61.02,2498,579,0.2318,0.7682,2498
47,0.2,0.4,99.66,63.14,2502,525,0.2098,0.7902,2502
48,0.2,0.4,99.48,65.1,2504,547,0.2185,0.7815,2504
49,0.2,0.4,99.53,60.99,2499,547,0.2189,0.7811,2499
50,0.2,0.4,99.69,60.56,2491,555,0.2228,0.7772,2491
51,0.2,0.4,99.59,55.4,2495,581,0.2329,0.7671,2495
42,0.5,0.4,99.72,62.19,2503,1272,0.5082,0.4918,2503
43,0.5,0.4,99.58,60.07,2502,1266,0.506,0.494,2502
44,0.5,0.4,99.79,63.91,2502,1332,0.5324,0.4676,2502
45,0.5,0.4,99.65,55.08,2504,1302,0.52,0.48,2504
46,0.5,0.4,99.73,60.27,2497,1267,0.5074,0.4926,2497
47,0.5,0.4,99.51,58.75,2498,1279,0.512,0.488,2498
48,0.5,0.4,99.71,64.46,2501,1302,0.5206,0.4794,2501
49,0.5,0.4,99.77,63.8,2505,1297,0.5178,0.4822,2505
50,0.5,0.4,99.49,59.5,2497,1265,0.5066,0.4934,2497
51,0.5,0.4,99.68,55.55,2494,1292,0.518,0.482,2494
