seed,ips_threshold,drop_rate,dpr_pct,sync_pct,delivery_pct,ips_score,llm_fallbacks,gate_pass_rate,drift_failures
42,0.9,0.0,99.5,85.16,95.6,0.9935,2503,0.9816,46
43,0.9,0.0,99.53,82.0,94.95,0.9937,2495,0.9808,48
44,0.9,0.0,99.56,84.1,95.72,0.9935,2503,0.9816,46
45,0.9,0.0,99.68,75.26,95.07,0.9937,2502,0.9756,61
46,0.9,0.0,99.63,80.99,95.14,0.9934,2500,0.9788,53
47,0.9,0.0,99.64,82.62,95.9,0.9933,2502,0.9704,74
48,0.9,0.0,99.71,86.11,96.18,0.9938,2501,0.978,55
49,0.9,0.0,99.44,84.25,95.33,0.9934,2503,0.9792,52
50,0.9,0.0,99.63,83.8,96.66,0.9934,2495,0.9776,56
51,0.9,0.0,99.49,76.77,95.73,0.9937,2490,0.9827,43
42,0.9,0.4,99.43,64.95,73.03,0.9935,2503,0.9816,46
43,0.9,0.4,99.57,61.03,72.72,0.9937,2495,0.9808,48
44,0.9,0.4,99.57,62.18,73.26,0.9935,2503,0.9816,46
45,0.9,0.4,99.65,54.05,70.95,0.9937,2502,0.9756,61
46,0.9,0.4,99.6,64.2,74.29,0.9934,2500,0.9788,53
47,0.9,0.4,99.64,61.55,73.14,0.9933,2502,0.9704,74
48,0.9,0.4,99.7,64.72,73.18,0.9938,2501,0.978,55
49,0.9,0.4,99.49,61.26,71.92,0.9934,2503,0.9792,52
50,0.9,0.4,99.59,60.63,74.13,0.9934,2495,0.9776,56
51,0.9,0.4,99.47,56.26,73.81,0.9937,2490,0.9827,43
42,0.9,0.8,99.41,39.67,51.28,0.9935,2503,0.9816,46
43,0.9,0.8,99.51,39.46,52.81,0.9937,2495,0.9808,48
44,0.9,0.8,99.6,38.93,52.39,0.9935,2503,0.9816,46
45,0.9,0.8,99.63,34.59,50.56,0.9937,2502,0.9756,61
46,0.9,0.8,99.62,36.95,51.09,0.9934,2500,0.9788,53
47,0.9,0.8,99.67,37.34,51.65,0.9933,2502,0.9704,74
48,0.9,0.8,99.67,40.86,52.37,0.9938,2501,0.978,55
49,0.9,0.8,99.47,39.87,52.66,0.9934,2503,0.9792,52
50,0.9,0.8,99.64,33.93,49.6,0.9934,2495,0.9776,56
51,0.9,0.8,99.48,32.84,49.83,0.9937,2490,0.9827,43
42,0.95,0.0,99.49,84.94,95.53,0.9936,2503,0.98,50
43,0.95,0.0,99.55,84.79,96.61,0.9937,2495,0.9796,51
44,0.95,0.0,99.56,83.15,95.59,0.9936,2503,0.9792,52
45,0.95,0.0,99.67,76.92,96.22,0.9937,2502,0.9748,63
46,0.95,0.0,99.64,83.47,96.37,0.9936,2500,0.976,60
47,0.95,0.0,99.67,83.09,95.93,0.9933,2502,0.9692,77
48,0.95,0.0,99.71,85.57,96.2,0.9938,2501,0.9768,58
49,0.95,0.0,99.41,84.26,95.42,0.9936,2503,0.9756,61
50,0.95,0.0,99.62,82.16,96.06,0.9936,2495,0.9752,62
51,0.95,0.0,99.54,78.63,96.46,0.9937,2490,0.9815,46
42,0.95,0.4,99.46,66.11,73.92,0.9936,2503,0.98,50
43,0.95,0.4,99.53,62.66,73.66,0.9937,2495,0.9796,51
44,0.95,0.4,99.52,61.53,72.82,0.9936,2503,0.9792,52
45,0.95,0.4,99.68,56.57,72.45,0.9937,2502,0.9748,63
46,0.95,0.4,99.63,61.2,72.78,0.9936,2500,0.976,60
47,0.95,0.4,99.61,61.56,74.04,0.9933,2502,0.9692,77
48,0.95,0.4,99.72,65.29,73.01,0.9938,2501,0.9768,58
49,0.95,0.4,99.48,62.75,72.53,0.9936,2503,0.9756,61
50,0.95,0.4,99.62,58.0,72.02,0.9936,2495,0.9752,62
51,0.95,0.4,99.51,54.48,73.05,0.9937,2490,0.9815,46
42,0.95,0.8,99.41,39.66,51.82,0.9936,2503,0.98,50
43,0.95,0.8,99.51,37.29,51.32,0.9937,2495,0.9796,51
44,0.95,0.8,99.6,38.88,52.28,0.9936,2503,0.9792,52
45,0.95,0.8,99.62,34.5,50.06,0.9937,2502,0.9748,63
46,0.95,0.8,99.65,38.7,51.86,0.9936,2500,0.976,60
47,0.95,0.8,99.63,37.48,51.25,0.9933,2502,0.9692,77
48,0.95,0.8,99.72,38.82,50.7,0.9938,2501,0.9768,58
49,0.95,0.8,99.43,37.34,50.27,0.9936,2503,0.9756,61
50,0.95,0.8,99.56,36.87,51.56,0.9936,2495,0.9752,62
51,0.95,0.8,99.47,35.63,52.17,0.9937,2490,0.9815,46
